id,user_id,savings_id
1,1,48
2,1,28
3,1,29
4,1,14
5,2,38
6,2,54
7,3,39
8,3,12
9,3,45
10,3,52
11,3,54
12,3,25
13,4,42
14,4,44
15,4,14
16,5,8
17,5,9
18,5,34
19,5,47
20,6,22
21,7,22
22,8,42
23,8,12
24,8,58
25,9,20
26,9,12
27,9,29
28,10,34
29,10,3
30,10,46
31,10,39
32,11,54
33,12,10
34,12,12
35,12,42
36,12,6
37,13,8
38,13,44
39,13,30
40,13,39
41,14,27
42,15,33
43,15,35
44,15,37
45,16,48
46,17,13
47,18,38
48,18,7
49,18,14
50,18,15
51,18,20
52,18,57
53,19,25
54,19,58
55,19,51
56,19,41
57,20,36
58,20,16
59,20,50
60,20,51
61,20,23
62,20,29
63,21,34
64,21,11
65,21,44
66,21,55
67,21,56
68,22,24
69,22,51
70,22,45
71,23,9
72,23,57
73,23,22
74,23,30
75,24,21
76,24,29
77,25,9
78,25,6
79,26,33
80,26,41
81,26,52
82,26,54
83,26,25
84,27,3
85,27,4
86,27,11
87,27,16
88,27,55
89,27,24
90,28,32
91,28,1
92,28,39
93,28,18
94,28,20
95,29,48
96,29,49
97,29,36
98,30,24
99,30,2
100,30,3
101,30,37
102,31,48
103,32,33
104,32,44
105,32,47
106,32,53
107,32,22
108,33,28
109,33,37
110,34,26
111,35,23
112,35,39
113,36,40
114,36,12
115,36,48
116,36,17
117,36,57
118,36,26
119,37,10
120,37,36
121,38,7
122,38,40
123,38,10
124,38,48
125,38,49
126,39,33
127,39,2
128,39,40
129,39,18
130,39,22
131,40,35
132,40,10
133,40,11
134,40,47
135,40,19
136,41,49
137,41,51
138,41,12
139,42,34
140,42,40
141,42,41
142,42,17
143,42,21
144,43,43
145,43,38
146,44,24
147,44,17
148,44,48
149,44,46
150,45,33
151,45,58
152,45,57
153,46,40
154,46,8
155,46,10
156,46,46
157,46,48
158,46,23
159,47,4
160,48,36
161,48,42
162,48,19
163,48,24
164,48,56
165,48,28
166,49,25
167,49,15
168,49,9
169,49,31
170,50,40
171,51,48
172,51,11
173,51,35
174,51,20
175,52,14
176,53,3
177,53,55
178,54,41
179,54,43
180,54,45
181,54,46
182,54,16
183,54,53
184,55,33
185,55,37
186,55,45
187,55,48
188,55,19
189,56,9
190,56,19
191,56,4
192,56,38
193,57,42
194,57,26
195,57,30
196,58,32
197,58,39
198,58,40
199,58,51
200,58,31
201,59,10
202,59,42
203,59,52
204,59,57
205,59,27
206,60,33
207,60,14
208,61,3
209,61,14
210,61,20
211,61,27
212,61,28
213,61,29
214,62,34
215,62,40
216,62,16
217,62,56
218,62,30
219,63,9
220,63,43
221,63,17
222,63,24
223,63,26
224,63,30
225,64,58
226,64,30
227,64,31
228,65,31
229,66,3
230,66,8
231,66,11
232,66,45
233,66,23
234,66,28
235,67,18
236,67,51
237,67,5
238,67,15
239,68,56
240,68,27
241,68,37
242,69,30
243,69,47
244,70,33
245,70,4
246,70,10
247,70,53
248,70,28
249,71,50
250,71,5
251,71,14
252,72,41
253,72,9
254,72,18
255,72,22
256,72,23
257,73,38
258,74,49
259,75,10
260,75,11
261,75,43
262,75,44
263,75,17
264,76,12
265,76,44
266,76,46
267,76,54
268,76,58
269,77,8
270,77,1
271,77,5
272,77,21
273,78,14
274,78,54
275,78,7
276,79,23
277,80,58
278,80,43
279,80,20
280,80,28
281,81,42
282,81,50
283,81,38
284,82,19
285,82,35
286,82,4
287,83,27
288,84,1
289,85,15
290,85,51
291,85,19
292,85,29
293,85,30
294,86,8
295,86,41
296,86,10
297,86,44
298,86,25
299,87,34
300,87,13
301,87,46
302,88,52
303,88,53
304,89,41
305,89,27
306,89,23
307,90,12
308,90,23
309,91,4
310,91,10
311,91,42
312,91,11
313,91,17
314,92,56
315,92,3
316,92,38
317,93,34
318,93,3
319,93,42
320,93,23
321,94,9
322,95,37
323,95,31
324,96,8
325,96,5
326,97,42
327,97,19
328,97,46
329,98,25
330,99,33
331,99,10
332,99,45
333,99,57
334,99,58
335,100,4
336,100,39
337,100,43
338,100,12
339,100,24
340,101,38
341,102,18
342,102,46
343,103,11
344,103,13
345,103,14
346,103,18
347,103,19
348,104,31
349,105,17
350,105,42
351,105,45
352,105,14
353,106,5
354,106,44
355,106,49
356,106,18
357,106,20
358,106,56
359,107,24
360,107,17
361,107,51
362,107,28
363,108,16
364,108,33
365,108,52
366,108,7
367,109,53
368,110,39
369,110,9
370,110,10
371,110,54
372,110,30
373,111,16
374,111,58
375,111,7
376,112,11
377,112,12
378,112,50
379,112,21
380,112,56
381,113,16
382,113,38
383,113,12
384,113,22
385,114,40
386,114,1
387,114,38
388,114,47
389,115,20
390,116,4
391,116,39
392,116,48
393,116,17
394,116,51
395,117,4
396,117,20
397,118,29
398,119,10
399,119,37
400,120,41
401,120,9
402,120,48
403,120,16
404,120,30
405,121,28
406,122,30
407,123,14
408,123,16
409,123,19
410,123,53
411,123,23
412,124,1
413,124,12
414,124,29
415,125,9
416,126,4
417,126,16
418,126,53
419,126,22
420,126,58
421,126,27
422,127,33
423,127,11
424,128,10
425,128,29
426,129,53
427,129,30
428,130,41
429,130,10
430,130,18
431,130,51
432,130,52
433,130,53
434,131,52
435,131,47
436,132,12
437,133,4
438,133,37
439,133,7
440,134,2
441,135,1
442,136,26
443,136,2
444,136,5
445,137,27
446,137,36
447,137,23
448,138,45
449,139,23
450,140,15
451,141,58
452,142,33
453,142,34
454,142,21
455,142,23
456,142,27
457,143,38
458,143,10
459,143,43
460,143,51
461,143,24
462,143,31
463,144,19
464,144,11
465,144,13
466,144,47
467,145,32
468,145,15
469,145,16
470,145,18
471,145,25
472,145,29
473,146,1
474,146,14
475,147,38
476,147,29
477,147,14
478,148,21
479,148,7
480,149,33
481,149,36
482,149,52
483,149,54
484,149,22
485,150,40
486,150,25
487,150,46
488,151,26
489,151,43
490,151,21
491,151,47
492,152,8
493,152,14
494,152,23
495,153,33
496,153,18
497,153,56
498,153,26
499,153,27
500,154,50
501,154,51
502,155,10
503,155,12
504,155,47
505,155,19
506,155,30
507,156,40
508,156,55
509,157,44
510,157,20
511,157,23
512,157,24
513,157,30
514,158,8
515,158,29
516,158,2
517,158,53
518,159,33
519,159,35
520,159,10
521,159,57
522,159,58
523,159,31
524,160,37
525,161,40
526,161,48
527,161,20
528,161,22
529,161,25
530,162,40
531,162,41
532,162,26
533,162,9
534,163,2
535,163,10
536,163,16
537,163,50
538,163,56
539,163,31
540,164,10
541,164,11
542,164,44
543,164,58
544,164,30
545,165,16
546,165,37
547,166,20
548,166,22
549,166,15
550,167,49
551,167,15
552,168,41
553,168,42
554,168,44
555,168,53
556,169,30
557,170,9
558,170,46
559,171,25
560,171,2
561,171,31
562,172,35
563,172,20
564,172,53
565,172,23
566,172,24
567,172,29
568,173,26
569,173,43
570,173,45
571,173,55
572,174,38
573,174,51
574,174,21
575,174,6
576,175,34
577,175,36
578,175,9
579,175,44
580,175,23
581,176,2
582,176,37
583,176,39
584,176,49
585,176,56
586,176,26
587,177,38
588,178,25
589,178,20
590,178,54
591,179,8
592,179,57
593,180,52
594,180,44
595,181,57
596,182,33
597,182,41
598,182,13
599,182,17
600,182,54
601,183,11
602,183,32
603,183,43
604,183,29
605,184,25
606,184,10
607,184,5
608,184,47
609,185,3
610,185,27
611,185,47
612,186,9
613,187,2
614,187,3
615,187,9
616,187,44
617,187,45
618,187,15
619,188,1
620,188,7
621,188,42
622,188,46
623,188,21
624,188,28
625,189,38
626,189,30
627,190,10
628,190,50
629,190,26
630,190,15
631,191,48
632,191,38
633,192,26
634,192,31
635,193,49
636,194,35
637,194,44
638,194,15
639,194,17
640,194,31
641,195,36
642,195,5
643,195,40
644,195,10
645,195,13
646,195,17
647,196,32
648,196,44
649,196,45
650,196,51
651,196,53
652,196,26
653,197,53
654,197,39
655,197,22
656,197,55
657,198,25
658,198,51
659,198,1
660,198,15
661,199,56
662,199,43
663,199,7
664,200,34
665,201,11
666,201,43
667,201,15
668,201,18
669,201,31
670,202,34
671,203,42
672,203,30
673,204,32
674,204,6
675,204,16
676,204,51
677,204,54
678,204,25
679,205,57
680,205,15
681,206,8
682,206,9
683,206,32
684,206,13
685,207,2
686,207,27
687,208,37
688,208,42
689,208,45
690,208,29
691,209,11
692,209,45
693,209,15
694,209,17
695,209,26
696,210,19
697,211,36
698,211,6
699,211,8
700,211,45
701,211,22
702,211,30
703,212,58
704,212,53
705,213,39
706,213,40
707,213,44
708,213,47
709,213,24
710,213,28
711,214,30
712,215,25
713,215,7
714,216,40
715,216,47
716,217,36
717,217,7
718,217,11
719,217,29
720,217,31
721,218,23
722,219,47
723,219,15
724,219,18
725,219,50
726,219,56
727,220,56
728,220,51
729,220,53
730,220,22
731,221,24
732,221,7
733,221,54
734,221,6
735,222,24
736,222,29
737,222,5
738,223,33
739,223,37
740,224,1
741,224,3
742,224,15
743,224,21
744,224,55
745,224,26
746,225,16
747,225,25
748,225,26
749,225,34
750,226,16
751,226,3
752,227,13
753,227,22
754,227,6
755,228,7
756,228,39
757,228,45
758,228,46
759,228,23
760,228,55
761,229,42
762,229,52
763,229,15
764,230,34
765,230,37
766,230,38
767,230,13
768,230,14
769,230,48
770,231,36
771,231,9
772,231,41
773,231,53
774,231,29
775,232,43
776,233,40
777,233,18
778,233,10
779,233,28
780,234,4
781,234,10
782,234,11
783,234,47
784,234,50
785,234,23
786,235,2
787,235,40
788,235,46
789,235,14
790,235,16
791,235,51
792,236,32
793,236,18
794,236,21
795,236,55
796,237,37
797,237,12
798,237,47
799,237,19
800,237,22
801,237,31
802,238,33
803,238,5
804,238,46
805,238,9
806,239,33
807,239,54
808,240,28
809,240,12
810,241,24
811,241,17
812,241,35
813,241,52
814,242,25
815,242,44
816,243,44
817,243,46
818,243,15
819,244,2
820,244,54
821,245,6
822,245,10
823,245,55
824,245,56
825,245,57
826,246,7
827,246,19
828,246,54
829,246,56
830,246,28
831,247,32
832,247,29
833,247,38
834,248,9
835,248,10
836,248,18
837,248,20
838,248,21
839,248,53
840,249,16
841,249,1
842,249,18
843,249,28
844,250,32
845,250,49
846,250,11
847,251,1
848,251,2
849,251,44
850,251,14
851,251,58
852,252,41
853,252,43
854,253,6
855,253,8
856,253,10
857,253,46
858,253,26
859,254,1
860,254,9
861,254,15
862,255,24
863,255,49
864,255,42
865,255,43
866,256,20
867,256,38
868,256,36
869,257,3
870,257,36
871,257,38
872,257,20
873,257,23
874,257,57
875,258,24
876,258,18
877,258,27
878,258,54
879,259,32
880,259,35
881,259,6
882,259,57
883,259,28
884,259,31
885,260,6
886,260,44
887,260,16
888,260,23
889,260,28
890,260,31
891,261,50
892,261,43
893,262,15
894,263,24
895,264,1
896,264,3
897,264,18
898,264,21
899,264,54
900,264,25
901,265,36
902,265,47
903,265,15
904,265,23
905,265,27
906,266,51
907,267,56
908,267,20
909,267,4
910,267,31
911,268,13
912,268,14
913,268,39
914,269,8
915,269,24
916,269,20
917,269,25
918,270,5
919,270,39
920,270,42
921,270,48
922,270,27
923,270,28
924,271,51
925,272,56
926,272,54
927,273,33
928,273,4
929,273,12
930,273,14
931,274,28
932,274,37
933,275,40
934,275,12
935,275,37
936,275,22
937,276,42
938,276,11
939,276,17
940,276,18
941,276,31
942,277,7
943,277,9
944,277,21
945,277,55
946,277,27
947,278,32
948,278,29
949,278,3
950,278,45
951,279,16
952,279,27
953,279,55
954,280,33
955,280,19
956,281,8
957,281,18
958,282,41
959,282,45
960,282,15
961,282,16
962,282,18
963,283,57
964,283,37
965,283,14
966,284,40
967,284,19
968,284,5
969,285,10
970,285,28
971,285,36
972,285,30
973,286,39
974,286,8
975,286,44
976,286,46
977,286,54
978,287,32
979,287,3
980,287,40
981,287,14
982,287,50
983,287,29
984,288,48
985,289,5
986,289,45
987,289,17
988,289,19
989,289,21
990,290,40
991,290,12
992,290,29
993,291,2
994,291,5
995,291,38
996,291,47
997,291,53
998,291,25
999,292,17
1000,292,2
1001,292,13
1002,292,29
1003,293,18
1004,293,39
1005,294,50
1006,294,4
